event_type,expected_participants,duration_hours,prize_pool,refreshments_needed,stationary_needed,goodies_needed,physical_certificate,trophies_needed,volunteers_needed,rooms_needed,refreshment_item_count,stationery_item_count,expense_refreshments,expense_stationery,expense_certificates,expense_goodies,expense_trophies,expense_other,total_expense
0,26,3,2000,1,0,0,1,1,2,1,2,0,911,0,469,0,2348,2900,6628
4,57,4,0,1,0,1,1,0,3,1,2,0,4822,0,906,4312,0,12054,22094
4,53,5,0,0,1,1,0,0,2,1,0,1,0,306,0,4182,0,9375,13863
2,158,5,1000,0,1,0,1,1,10,3,0,1,0,26,1573,0,1488,10844,13931
1,197,3,7000,1,1,1,1,1,11,4,2,1,3081,255,1997,3523,2291,4619,15766
0,43,2,15000,1,0,0,1,1,2,1,4,0,1160,0,553,0,3579,8529,13821
4,32,2,0,1,1,1,1,0,2,1,2,3,1589,589,400,2048,0,5845,10471
1,154,1,0,1,1,1,1,0,14,2,3,6,6593,1136,1689,2727,0,10870,23015
0,118,2,10000,1,0,0,0,1,7,2,4,0,3741,0,0,0,2151,3128,9020
2,161,8,3000,1,1,1,1,1,6,3,1,7,11172,9666,2003,3222,1902,11824,39789
3,227,1,0,1,1,0,1,0,9,7,2,1,9534,19,3414,0,0,4316,17283
3,96,1,0,1,1,0,1,0,4,2,4,1,4104,162,927,0,0,5173,10366
1,41,3,0,1,1,0,0,0,2,1,4,1,2133,208,0,0,0,7218,9559
3,267,2,0,1,1,0,1,0,14,5,1,4,685,1641,2638,0,0,12233,17197
2,88,6,0,1,1,1,1,0,4,1,2,1,13644,56,1025,1898,0,8054,24677
1,59,1,10000,1,1,1,1,1,2,1,6,4,4133,1357,629,1983,4030,10227,22359
3,271,3,0,1,1,0,1,0,24,7,5,5,11147,9359,3731,0,0,7278,31515
3,271,1,0,1,1,1,0,0,12,6,3,4,15719,860,0,20981,0,6771,44331
3,273,3,0,1,1,0,0,0,16,5,1,2,3222,109,0,0,0,6482,9813
3,115,3,0,1,0,0,1,0,7,3,4,0,9473,0,1582,0,0,7171,18226
1,175,1,0,1,1,0,1,0,12,5,3,4,7426,939,1710,0,0,6158,16233
0,192,2,20000,1,0,0,1,1,10,3,4,0,5540,0,2723,0,2576,5859,16698
0,189,2,0,1,1,0,0,0,11,5,5,3,8805,429,0,0,0,6260,15494
0,145,4,1000,1,1,1,1,1,7,3,5,2,14353,152,1731,6922,3623,5936,32717
4,23,4,0,1,1,0,0,0,2,1,2,2,1872,182,0,0,0,5041,7095
4,27,2,0,1,0,0,0,0,2,1,1,0,250,0,0,0,0,6701,6951
0,123,1,0,1,0,0,1,0,5,3,4,0,7068,0,1582,0,0,12560,21210
1,127,1,5000,1,1,1,1,1,11,4,3,7,2910,1162,1474,2411,1940,8491,18388
4,31,5,0,1,1,1,0,0,2,1,4,2,2954,147,0,2137,0,7299,12537
4,37,4,0,1,1,1,0,0,2,1,1,5,382,555,0,2185,0,4256,7378
4,78,2,0,1,0,0,1,0,4,1,2,0,1386,0,1077,0,0,5489,7952
0,110,3,0,1,0,0,1,0,7,2,2,0,1029,0,1754,0,0,8627,11410
4,54,2,0,1,1,0,0,0,2,1,1,6,444,786,0,0,0,4460,5690
1,44,1,0,1,1,0,1,0,2,1,4,2,1507,518,701,0,0,6303,9029
0,52,3,15000,1,1,1,0,1,3,1,2,1,714,308,0,4919,1845,3549,11335
1,161,4,0,1,0,1,0,0,6,4,6,0,20216,0,0,7791,0,3379,31386
4,79,5,0,0,1,1,1,0,3,1,0,4,0,933,873,1592,0,8445,11843
3,182,2,0,1,0,1,0,0,9,5,4,0,6081,0,0,13340,0,6071,25492
3,88,2,0,1,1,0,0,0,8,1,2,6,1328,1160,0,0,0,7215,9703
2,40,6,0,1,0,0,0,0,2,1,5,0,11018,0,0,0,0,10014,21032
1,24,4,0,1,0,0,1,0,2,1,3,0,2294,0,337,0,0,5772,8403
0,86,4,5000,0,1,0,1,1,5,2,0,2,0,544,1228,0,2096,6138,10006
0,232,2,2000,1,0,0,1,1,9,7,5,0,13772,0,2861,0,2261,6981,25875
3,185,1,0,1,1,1,1,0,9,4,6,6,10969,3551,1770,3695,0,11288,31273
3,251,3,0,1,1,1,1,0,10,6,2,8,4075,1738,2528,19870,0,10144,38355
2,82,6,0,1,1,1,1,0,3,2,2,4,2010,772,1254,1157,0,7267,12460
