event_type,event_type_name,expected_participants,duration_hours,prize_pool,refreshments_needed,stationary_needed,goodies_needed,physical_certificate,trophies_needed,volunteers_needed,rooms_needed,refreshment_item_count,stationery_item_count,expense_refreshments,expense_stationery,expense_certificates,expense_goodies,expense_trophies,expense_other,total_expense
0,Non-Technical,26,3,2000,1,0,0,1,1,2,1,2,0,760,0,467,0,3355,4260,8842
2,Hackathon,177,5,0,1,1,1,1,0,10,3,1,4,1678,8742,2690,13879,0,10135,37124
0,Non-Technical,118,4,15000,1,0,0,1,1,6,2,3,0,8277,0,1534,0,1618,10292,21721
4,Workshop,41,4,0,1,0,0,0,0,2,1,3,0,4109,0,0,0,0,6361,10470
3,Seminar,140,2,0,1,0,1,1,0,10,4,4,0,5528,0,2002,2863,0,5739,16132
2,Hackathon,44,4,20000,0,1,1,1,0,3,1,0,1,0,407,656,3475,0,4073,8611
4,Workshop,58,2,0,0,1,1,1,0,4,1,0,3,0,2879,736,1715,0,7599,12929
0,Non-Technical,65,3,0,1,0,0,1,0,4,1,1,0,1113,0,739,0,0,4814,6666
2,Hackathon,141,8,0,1,0,1,1,0,6,4,2,0,25389,0,1497,2337,0,5337,34560
1,Technical,187,3,3000,1,1,0,1,1,7,4,2,4,5208,8437,2931,0,1902,11967,30445
3,Seminar,227,1,0,1,1,0,1,0,9,7,2,4,5038,10950,3302,0,0,11477,30767
0,Non-Technical,213,1,0,1,1,1,1,0,16,4,2,4,5796,11702,1945,12472,0,3609,35524
4,Workshop,54,4,0,0,0,1,0,0,3,1,0,0,0,0,0,4062,0,8719,12781
3,Seminar,164,1,0,1,1,0,1,0,7,3,3,4,5744,7663,2011,0,0,6208,21626
0,Non-Technical,58,2,0,0,1,1,1,0,2,1,0,5,0,3509,637,4009,0,1785,9940
3,Seminar,79,3,0,1,1,1,1,0,7,2,3,5,2895,3045,1094,5908,0,8669,21611
0,Non-Technical,188,4,3000,1,0,0,1,1,10,4,2,0,3065,0,1986,0,1591,12965,19607
4,Workshop,94,5,0,0,1,0,1,0,4,2,0,3,0,4938,1233,0,0,7645,13816
3,Seminar,273,3,0,1,1,0,0,0,16,5,1,4,4464,12539,0,0,0,11942,28945
3,Seminar,77,1,0,1,1,1,1,0,7,1,4,3,4068,2450,1000,6008,0,2216,15742
2,Hackathon,179,7,0,0,1,1,1,0,8,3,0,5,0,6497,2810,3658,0,9014,21979
0,Non-Technical,189,2,0,1,1,0,0,0,11,5,2,5,5585,8214,0,0,0,9032,22831
0,Non-Technical,145,4,1000,1,1,1,1,1,7,3,3,4,14117,5425,1885,11584,4036,5997,43044
2,Hackathon,119,4,2000,1,1,1,1,1,7,2,4,4,13820,5144,1165,2389,4884,7573,34975
4,Workshop,85,3,0,0,1,0,0,0,6,2,0,1,0,975,0,0,0,9513,10488
2,Hackathon,49,4,20000,1,1,0,0,1,3,1,4,5,5616,3018,0,0,2373,2743,13750
2,Hackathon,34,6,3000,1,0,1,0,1,2,1,1,0,4261,0,0,3333,1759,7299,16652
4,Workshop,37,4,0,1,1,1,0,0,2,1,1,2,380,621,0,3122,0,9034,13157
1,Technical,89,4,7000,1,1,0,1,0,7,1,1,4,7333,4516,1171,0,0,4643,17663
2,Hackathon,51,7,2000,1,1,1,1,1,2,1,4,3,2565,999,630,4170,1883,6715,16962
1,Technical,107,2,3000,1,1,0,1,1,4,1,2,5,3394,5411,1647,0,4132,3575,18159
1,Technical,161,4,0,1,0,1,0,0,6,4,4,0,6812,0,0,2324,0,2626,11762
2,Hackathon,78,5,20000,1,0,0,1,1,3,1,2,0,6671,0,1207,0,2624,7243,17745
1,Technical,170,2,7000,1,0,0,1,1,6,3,3,0,4274,0,2249,0,2861,12706,22090
3,Seminar,130,1,0,1,1,0,1,0,7,2,4,2,6373,5179,1383,0,0,12984,25919
0,Non-Technical,216,1,3000,1,0,0,0,1,14,3,1,0,2497,0,0,0,1888,8649,13034
4,Workshop,61,2,0,1,1,0,1,0,3,2,3,4,1937,3521,1001,0,0,8568,15027
3,Seminar,73,3,0,1,1,1,1,0,6,1,4,3,4051,2850,784,2113,0,9735,19533
4,Workshop,24,5,0,1,0,1,0,0,2,1,2,0,2359,0,0,782,0,9018,12159
4,Workshop,80,3,0,1,1,0,0,0,7,1,4,4,4320,4255,0,0,0,8652,17227
4,Workshop,94,5,0,1,1,1,1,0,5,2,3,3,4113,4769,1226,4621,0,9117,23846
0,Non-Technical,187,1,10000,1,1,0,0,1,8,3,3,5,8455,8954,0,0,1534,8472,27415
0,Non-Technical,88,2,2000,1,1,1,1,1,4,1,3,1,3666,715,1373,5201,3457,4376,18788
4,Workshop,37,4,0,1,0,1,1,0,2,1,3,0,3881,0,544,2942,0,9131,16498
4,Workshop,30,2,0,1,0,1,1,0,2,1,4,0,1357,0,474,2056,0,3849,7736
0,Non-Technical,193,2,0,1,1,0,1,0,8,3,4,2,8788,8158,2459,0,0,13145,32550
1,Technical,157,2,2000,1,0,0,0,0,6,4,2,0,4433,0,0,0,0,3539,7972
2,Hackathon,168,4,0,1,1,0,0,0,9,4,1,4,13977,5588,0,0,0,8865,28430
1,Technical,52,3,0,1,0,0,1,0,2,1,4,0,2375,0,686,0,0,6229,9290
3,Seminar,54,1,0,0,1,0,0,0,2,1,0,2,0,659,0,0,0,8004,8663
3,Seminar,227,1,0,1,1,1,0,0,17,5,3,3,8511,8204,0,16605,0,3122,36442
1,Technical,141,4,15000,1,1,0,1,1,7,4,4,5,14691,6772,1625,0,1999,6246,31333
0,Non-Technical,105,4,1000,1,0,0,1,1,9,2,2,0,9974,0,1174,0,4310,6669,22127
0,Non-Technical,114,2,5000,1,1,1,0,0,7,2,2,2,2560,919,0,8248,0,11302,23029
0,Non-Technical,59,1,15000,1,1,1,0,1,2,1,1,1,973,612,0,4102,3920,7094,16701
0,Non-Technical,117,4,3000,0,1,0,1,1,6,2,0,3,0,3720,1020,0,2164,5741,12645
4,Workshop,23,4,0,0,1,0,1,0,2,1,0,3,0,790,503,0,0,9541,10834
1,Technical,111,3,0,1,1,1,0,0,5,1,1,2,1564,1292,0,2048,0,6644,11548
4,Workshop,48,3,0,1,0,1,1,0,2,1,1,0,630,0,864,955,0,4795,7244
3,Seminar,72,2,0,1,0,0,1,0,4,2,3,0,3092,0,869,0,0,5966,9927
4,Workshop,80,3,0,1,1,0,0,0,5,2,4,2,4094,3099,0,0,0,8895,16088
2,Hackathon,125,4,5000,1,0,0,1,0,7,3,3,0,4077,0,1830,0,0,7197,13104
3,Seminar,95,2,0,1,1,1,0,0,7,2,1,4,988,4982,0,5795,0,10100,21865
2,Hackathon,78,5,3000,0,0,0,1,1,5,1,0,0,0,0,888,0,3449,11197,15534
2,Hackathon,137,6,5000,1,1,1,1,1,11,3,2,5,3847,5524,1596,7814,3692,8532,31005
1,Technical,20,2,0,1,0,0,1,0,2,1,1,0,615,0,381,0,0,3794,4790
1,Technical,106,4,0,1,0,0,1,0,6,3,1,0,1348,0,1510,0,0,3701,6559
0,Non-Technical,22,2,2000,1,0,0,1,1,2,1,3,0,897,0,324,0,2377,9544,13142
2,Hackathon,162,8,1000,1,0,0,1,1,11,2,1,0,20513,0,1655,0,5175,9971,37314
2,Hackathon,123,4,0,1,1,0,1,0,5,2,4,1,7212,391,1110,0,0,6185,14898
4,Workshop,42,3,0,1,0,0,1,0,2,1,2,0,817,0,737,0,0,5543,7097
2,Hackathon,59,6,10000,1,0,0,0,1,5,1,1,0,884,0,0,0,2998,7961,11843
2,Hackathon,180,8,0,1,0,1,1,0,15,5,2,0,15059,0,1642,3424,0,5405,25530
3,Seminar,193,3,0,1,0,0,0,0,11,3,1,0,4242,0,0,0,0,10785,15027
0,Non-Technical,72,4,1000,1,1,0,1,1,6,2,3,5,3075,3604,1257,0,4190,8960,21086
