category,item_name,unit,min_price,max_price,avg_price,notes
Refreshments,Juice (per cup),per cup,8,12,10,Most common refreshment
Refreshments,Water Bottle (500ml),per bottle,10,15,12,Standard 500ml
Refreshments,Biscuit Packet (small),per packet,5,5,5,Small packet
Refreshments,Tea,per cup,10,10,10,Standard tea
Refreshments,Coffee,per cup,10,15,12,Standard coffee
Refreshments,Snacks (chips/samosa),per piece,10,20,15,Chips or samosa or puff
Stationery,Pen (DOMS/ball pen),per piece,5,10,7,Basic ball pen
Stationery,Pencil,per piece,3,5,4,Standard pencil
Stationery,Eraser,per piece,3,5,4,Standard eraser
Stationery,Sharpener,per piece,5,5,5,Basic sharpener
Stationery,A4 Sheet (single),per sheet,2,2,2,Plain A4
Stationery,Notepad (small),per piece,20,40,30,Small notepad
Stationery,Chart Paper,per sheet,15,25,20,If used for display
Certificates,B/W Print Certificate,per certificate,3,5,4,Basic black and white
Certificates,Color Print Certificate,per certificate,8,15,10,Recommended standard
Goodies,Chocolate,per piece,10,20,15,Basic chocolate
Goodies,Snack Combo,per person,30,50,40,Light snack combo
Goodies,Dry Fruit Box (guest),per box,100,150,125,For chief guests only
Goodies,Basic Goodie Kit,per person,40,80,60,Standard participant goodie
Trophies,Medal,per piece,250,350,300,Participation or winner medal
Trophies,Momento,per piece,250,300,275,For guests or judges
Trophies,Trophy (1st Prize),per piece,500,700,600,Winner trophy
Trophies,Trophy (2nd Prize),per piece,300,500,400,Runner-up trophy
Trophies,Trophy (3rd Prize),per piece,200,300,250,Second runner-up trophy
Event Materials,Banner (flex),per banner,800,1200,1000,Standard flex banner
Event Materials,Decoration Materials,per event,500,1000,750,Balloons ribbons etc
Event Materials,Poster Printing,per poster,10,20,15,A3 size poster
Event Materials,Pamphlet,per piece,2,5,3,Flyer or pamphlet
Logistics,Petrol (per trip),per trip,200,300,250,Local trip
Logistics,Local Transport (overall),per event,1500,3000,2250,Full event transport
Food,Meal (per person),per person,80,150,115,Full meal lunch or dinner
Food,Snacks Meal (light),per person,40,80,60,Light snacks meal
