event_type,expected_participants,duration_hours,prize_pool,refreshments_needed,stationary_needed,goodies_needed,physical_certificate,trophies_needed,volunteers_needed,rooms_needed,refreshment_item_count,stationery_item_count,expense_refreshments,expense_stationery,expense_certificates,expense_goodies,expense_trophies,expense_other,total_expense
0,26,3,2000,1,0,0,1,1,2,1,3,0,666,0,290,0,1590,2809,5355
2,118,8,0,1,1,0,1,0,7,3,12,10,26371,8447,1537,0,0,7745,44100
1,145,4,0,0,1,1,1,0,7,3,0,10,0,8784,1505,7502,0,6733,24524
2,193,8,2000,1,1,1,1,1,10,3,12,10,36840,10428,2292,12263,1444,10776,74043
0,188,4,10000,1,0,0,1,1,12,3,11,0,27768,0,2032,0,4377,14203,48380
4,89,2,0,1,1,0,1,0,8,2,7,9,6744,4003,718,0,0,8226,19691
0,245,2,2000,1,0,1,0,1,13,8,12,0,33824,0,0,14130,2150,11231,61335
0,250,3,3000,1,1,0,0,1,19,4,12,6,32385,3680,0,0,1587,12251,49903
4,44,4,0,1,1,1,1,0,2,1,5,8,4684,2713,440,629,0,4183,12649
1,183,1,7000,1,1,1,1,1,15,6,10,10,15175,11828,2528,11330,3253,13271,57385
0,55,2,2000,1,1,0,1,1,4,1,6,4,2685,688,786,0,1734,4765,10658
4,23,5,0,1,1,0,1,0,2,1,5,8,2998,1512,337,0,0,2284,7131
1,134,3,0,1,1,0,1,0,11,2,10,10,14058,7764,1237,0,0,9954,33013
2,112,5,0,1,1,1,1,0,6,3,12,10,16950,5575,1077,7711,0,8153,39466
1,90,2,5000,1,1,0,1,0,5,2,6,8,4010,4804,1202,0,0,7616,17632
4,74,4,0,1,1,0,1,0,7,1,8,9,8049,4437,1003,0,0,4630,18119
3,291,2,0,1,0,1,1,0,26,5,12,0,43816,0,3160,15377,0,13133,75486
3,271,3,0,1,0,1,1,0,15,6,12,0,37766,0,3965,17861,0,11921,71513
2,136,6,0,1,1,0,1,0,9,2,12,10,29312,9818,1535,0,0,9942,50607
0,178,1,5000,0,0,1,1,1,16,4,0,0,0,0,1631,9252,2488,11068,24439
4,38,3,0,1,1,0,1,0,2,1,4,8,2211,2801,568,0,0,2939,8519
0,175,4,0,0,0,1,0,0,13,3,0,0,0,0,0,8331,0,13212,21543
2,142,4,2000,1,1,1,1,1,8,4,12,10,26912,6317,2074,7543,1906,8577,53329
4,73,3,0,1,1,0,1,0,3,2,7,9,6181,3005,619,0,0,3692,13497
4,20,4,0,1,1,0,1,0,2,1,5,8,1972,1577,233,0,0,3048,6830
0,145,4,1000,1,1,1,0,1,9,3,11,6,22415,1769,0,9057,2017,8549,43807
3,107,1,0,1,1,1,1,0,7,2,10,8,9960,1879,893,4629,0,8913,26274
2,41,5,0,1,1,1,1,0,2,1,5,7,4850,2380,418,586,0,4310,12544
0,82,4,20000,1,0,0,1,1,7,1,7,0,7527,0,1100,0,4999,7455,21081
2,181,4,1000,1,1,1,1,1,18,4,12,10,30218,9784,1568,12151,2148,12263,68132
2,62,8,10000,1,1,0,1,1,4,1,8,8,10004,3057,599,0,3939,4900,22499
1,169,2,0,1,1,1,1,0,15,3,10,10,16272,12071,1374,8218,0,9559,47494
3,213,3,0,1,0,1,1,0,12,4,12,0,31969,0,2064,14119,0,11011,59163
1,31,4,3000,1,1,1,1,0,2,1,4,7,2380,1606,356,597,0,3695,8634
1,154,3,1000,1,1,1,1,1,12,2,10,10,11456,6438,1803,8612,1969,11574,41852
3,101,1,0,1,1,1,1,0,8,1,10,8,8176,2281,1390,4338,0,9196,25381
0,232,1,5000,1,1,0,0,0,21,6,12,6,33707,2929,0,0,0,11729,48365
2,132,5,0,1,1,1,1,0,10,3,12,10,22920,6251,1762,7212,0,8289,46434
0,120,3,0,1,0,1,1,0,6,3,10,0,10909,0,1359,4880,0,8806,25954
3,117,3,0,1,0,0,1,0,11,2,10,0,9156,0,1106,0,0,10674,20936
1,78,3,3000,0,1,0,0,1,4,1,0,8,0,4088,0,0,1939,3939,9966
4,54,4,0,1,1,1,1,0,2,1,8,9,8412,2765,785,560,0,3216,15738
0,22,3,1000,0,1,0,0,1,2,1,0,3,0,245,0,0,2055,3853,6153
3,261,2,0,1,0,1,1,0,13,7,12,0,34099,0,3762,13520,0,13890,65271
4,30,5,0,1,1,0,1,0,2,1,5,8,3294,1873,323,0,0,2206,7696
0,248,1,0,1,1,1,1,0,12,4,12,6,37382,2300,3052,19207,0,10121,72062
0,122,4,3000,1,0,1,0,1,6,3,11,0,17389,0,0,6343,1433,7937,33102
2,82,6,15000,1,1,0,1,1,6,2,8,8,19059,3421,818,0,4183,8574,36055
4,94,5,0,1,1,0,1,0,7,2,8,9,13288,5213,1217,0,0,5619,25337
3,54,1,0,1,0,0,1,0,5,1,6,0,2240,0,740,0,0,4345,7325
0,43,4,20000,1,0,0,1,1,2,1,4,0,4564,0,487,0,3209,2266,10526
1,159,2,10000,1,1,0,0,1,14,3,10,10,13886,7393,0,0,3213,11835,36327
3,53,2,0,1,0,0,1,0,2,1,6,0,2133,0,774,0,0,5746,8653
2,142,6,2000,1,1,1,1,1,10,3,12,10,29843,8958,1730,8987,1933,10248,61699
2,140,4,5000,1,1,1,1,1,7,2,12,10,21947,7512,2059,6898,2613,9398,50427
0,87,4,7000,1,0,0,1,1,4,2,7,0,9153,0,1256,0,2878,6196,19483
4,83,5,0,1,1,0,1,0,5,1,8,9,10503,4963,817,0,0,5390,21673
2,186,7,2000,1,1,0,1,1,9,4,12,10,39779,8995,2725,0,1907,13570,66976
4,36,5,0,1,1,0,1,0,2,1,5,8,5187,2055,464,0,0,1836,9542
4,48,5,0,1,1,1,1,0,3,1,5,8,4794,2485,435,678,0,3928,12320
3,139,2,0,1,1,1,1,0,9,2,10,8,10233,2207,1178,7018,0,8287,28923
2,50,8,0,1,1,0,1,0,4,1,8,8,9895,2839,652,0,0,3491,16877
0,87,1,20000,1,0,0,1,1,7,1,6,0,3514,0,1185,0,4110,4780,13589
0,122,1,0,0,0,1,1,0,7,4,0,0,0,0,1291,6303,0,9059,16653
4,51,3,0,1,1,1,1,0,3,1,7,9,4038,2379,701,548,0,3736,11402
3,229,3,0,1,1,1,1,0,17,7,12,8,31749,3912,2056,9270,0,12171,59158
3,257,1,0,1,1,0,1,0,23,8,12,8,41283,4663,2755,0,0,12929,61630
0,83,2,0,1,0,0,0,0,5,2,6,0,3631,0,0,0,0,5678,9309
3,50,2,0,1,0,1,1,0,4,1,6,0,1931,0,605,668,0,3894,7098
4,42,5,0,1,1,0,1,0,3,1,5,8,5929,2233,533,0,0,4544,13239
2,57,4,15000,1,1,0,1,0,3,1,8,8,6767,2976,717,0,0,5675,16135
2,90,4,20000,1,1,0,1,1,6,3,8,8,9923,4751,1075,0,4391,8213,28353
0,121,1,20000,1,0,1,0,1,10,3,10,0,10561,0,0,8647,4508,7141,30857
3,217,2,0,1,0,1,1,0,18,5,12,0,28632,0,2369,14283,0,12074,57358
4,92,2,0,1,1,1,1,0,7,1,7,9,5860,4689,1288,6062,0,7834,25733
3,283,1,0,1,0,1,1,0,20,5,12,0,42451,0,2813,18747,0,15614,79625
2,96,7,0,1,1,0,1,0,5,1,8,8,16281,6111,1051,0,0,7241,30684
4,35,5,0,1,1,0,1,0,2,1,5,8,4209,1555,312,0,0,3172,9248
1,110,1,0,1,1,1,1,0,8,2,10,10,9124,7144,1555,5525,0,8574,31922
3,147,1,0,1,0,1,1,0,12,4,10,0,10383,0,1900,7617,0,8081,27981
0,219,1,0,1,1,1,0,0,15,5,12,6,34363,2924,0,9750,0,12834,59871
3,96,3,0,1,1,0,1,0,9,1,6,6,4308,1479,935,0,0,8704,15426
1,34,4,7000,0,1,1,1,1,2,1,0,7,0,1487,390,562,2745,3848,9032
1,131,3,15000,1,1,1,1,1,6,3,10,10,10945,8780,1932,5263,4610,7181,38711
4,51,4,0,1,1,0,1,0,3,1,8,9,7733,3303,510,0,0,3408,14954
1,83,2,0,1,1,1,1,0,5,2,6,8,3662,4045,1096,3994,0,7396,20193
4,45,3,0,1,1,0,1,0,3,1,4,8,2107,2148,383,0,0,3779,8417
3,189,3,0,1,0,1,1,0,14,3,10,0,14104,0,2565,8417,0,13502,38588
0,44,2,0,1,0,0,1,0,2,1,3,0,1184,0,591,0,0,4323,6098
0,42,1,5000,1,0,1,1,1,2,1,3,0,1100,0,555,439,3167,3318,8579
4,48,3,0,1,1,0,1,0,2,1,4,8,2636,2497,432,0,0,2201,7766
0,237,4,1000,1,1,1,0,1,15,5,13,6,49353,3261,0,14586,1532,13851,82583
4,80,3,0,1,1,0,1,0,6,1,7,9,6068,5178,930,0,0,5954,18130
4,55,4,0,1,1,0,1,0,2,1,8,9,6899,2877,700,0,0,2696,13172
4,95,3,0,1,1,1,1,0,5,3,7,9,7509,5200,913,5265,0,5521,24408
1,136,1,0,1,1,1,0,0,7,2,10,10,10165,6701,0,7664,0,7032,31562
3,243,1,0,1,0,0,1,0,16,5,12,0,34964,0,2746,0,0,12289,49999
1,178,4,3000,0,1,0,1,1,9,3,0,10,0,10642,2069,0,1743,12436,26890
4,20,4,0,1,1,1,1,0,2,1,5,8,2168,1773,255,246,0,2981,7423
2,53,7,7000,1,1,1,1,0,3,1,8,8,8892,2224,562,697,0,5569,17944
3,172,3,0,1,1,1,1,0,8,3,10,8,14910,3503,1660,9854,0,11766,41693
2,94,8,0,1,1,1,1,0,8,1,8,8,17768,5433,1003,4837,0,10156,39197
1,95,3,5000,1,1,0,0,1,6,1,6,8,3806,6472,0,0,2936,5100,18314
4,54,5,0,1,1,1,1,0,3,1,8,9,6616,3900,597,675,0,4377,16165
1,147,3,20000,1,1,1,0,1,10,4,10,10,10884,8415,0,8124,4673,7126,39222
2,70,4,0,1,1,0,1,0,6,1,8,8,10271,3709,932,0,0,3400,18312
3,237,1,0,1,1,1,1,0,19,6,12,8,33724,3881,2152,12164,0,11911,63832
3,218,2,0,1,0,0,1,0,14,5,12,0,33546,0,2332,0,0,11038,46916
3,276,1,0,1,1,1,1,0,17,6,12,8,39365,4546,3196,17340,0,12209,76656
1,34,3,0,1,1,0,0,0,2,1,3,7,931,2064,0,0,0,4740,7735
4,25,4,0,1,1,0,1,0,2,1,5,8,2553,1725,285,0,0,4256,8819
2,140,6,1000,1,1,1,1,1,9,3,12,10,35376,6006,2092,9492,2056,7405,62427
0,94,4,10000,1,0,0,1,1,8,2,7,0,11435,0,1396,0,4400,5712,22943
4,100,3,0,1,1,1,1,0,5,2,11,11,10766,6678,1232,6422,0,8086,33184
4,80,4,0,1,1,1,1,0,5,1,8,9,10981,4231,1132,3986,0,7477,27807
2,142,7,0,1,1,0,1,0,11,3,12,10,30516,9611,1900,0,0,9752,51779
1,45,2,0,1,1,0,1,0,2,1,3,7,1368,2209,620,0,0,1727,5924
4,97,4,0,1,1,0,1,0,8,3,8,9,14243,4389,1164,0,0,7718,27514
3,205,2,0,1,1,0,1,0,17,4,12,8,29638,3233,2837,0,0,13121,48829
0,233,3,7000,1,1,0,0,1,21,6,12,6,34914,2370,0,0,2601,13485,53370
0,195,1,0,1,0,1,0,0,9,3,10,0,14497,0,0,9710,0,8537,32744
3,63,1,0,1,0,1,1,0,3,1,6,0,3079,0,910,925,0,4373,9287
3,96,3,0,1,0,0,1,0,6,2,6,0,4009,0,840,0,0,8894,13743
1,192,4,0,1,1,0,1,0,9,3,11,10,31575,7777,2770,0,0,12239,54361
2,45,6,0,1,1,0,1,0,4,1,5,7,6664,1981,635,0,0,2781,12061
3,270,2,0,1,0,0,1,0,14,7,12,0,38517,0,3579,0,0,11550,53646
2,166,4,20000,1,1,0,1,1,11,2,12,10,29359,7235,1366,0,4318,12329,54607
2,151,8,10000,1,1,1,1,1,9,5,12,10,32674,7278,1474,6246,4289,11599,63560
0,183,4,0,1,0,0,1,0,15,3,11,0,23963,0,1557,0,0,13264,38784
3,118,1,0,1,0,0,1,0,6,2,10,0,8809,0,1246,0,0,8166,18221
2,154,4,0,1,1,1,1,0,11,4,12,10,30194,6839,1914,11733,0,12090,62770
3,133,1,0,1,0,1,1,0,10,2,10,0,10226,0,1926,9080,0,11421,32653
0,172,2,0,1,1,0,1,0,9,4,10,6,13930,1932,2490,0,0,8082,26434
3,100,3,0,1,0,1,1,0,9,2,10,0,9030,0,889,6769,0,7485,24173
4,49,2,0,1,1,0,1,0,2,1,4,8,2735,3763,674,0,0,2937,10109
1,48,3,1000,1,1,0,1,1,2,1,3,7,1335,2765,484,0,2221,3871,10676
2,43,4,15000,1,1,0,1,1,3,1,5,7,5632,2635,456,0,5007,4258,17988
3,279,1,0,1,1,1,1,0,19,8,12,8,43472,4406,4128,19750,0,11696,83452
0,30,3,15000,1,1,0,1,1,2,1,3,3,818,355,273,0,4331,4498,10275
0,207,4,0,1,0,1,1,0,15,4,13,0,39540,0,2068,11189,0,12558,65355
3,236,2,0,1,1,1,1,0,18,6,12,8,37030,3501,1935,16659,0,14128,73253
4,22,4,0,1,1,1,1,0,2,1,5,8,2582,1715,218,374,0,2860,7749
2,154,7,2000,1,1,1,1,1,11,2,12,10,30368,6349,1505,6568,2143,12334,59267
0,45,1,3000,0,1,0,1,1,3,1,0,3,0,402,546,0,1896,2773,5617
0,153,2,7000,1,0,1,1,1,10,3,10,0,13772,0,1653,9734,2429,12917,40505
4,54,5,0,1,1,0,1,0,2,1,8,9,7305,3652,738,0,0,4438,16133
3,165,2,0,1,0,1,1,0,16,5,10,0,14921,0,1727,13053,0,12279,41980
2,135,6,3000,1,1,1,1,1,7,4,12,10,34498,7370,1622,9745,2152,8382,63769
3,114,3,0,1,0,0,1,0,11,2,10,0,10172,0,1586,0,0,8678,20436
1,64,1,5000,1,1,0,1,1,6,1,6,8,2782,2738,890,0,2668,2003,11081
3,256,3,0,1,0,1,1,0,23,7,12,0,33107,0,2146,19635,0,15350,70238
3,287,2,0,1,1,0,1,0,20,7,12,8,44219,3855,2461,0,0,12669,63204
4,61,4,0,1,1,1,1,0,3,1,8,9,8129,2970,793,726,0,3019,15637
2,78,7,2000,1,1,1,1,0,6,1,8,8,12568,3983,762,1263,0,4998,23574
3,83,1,0,1,1,0,1,0,6,2,6,6,3882,1317,1160,0,0,8040,14399
3,60,2,0,1,1,0,1,0,3,1,6,6,2647,1069,803,0,0,4659,9178
1,22,1,15000,1,1,0,1,1,2,1,3,7,650,828,237,0,3092,3090,7897
3,238,2,0,1,0,0,1,0,21,4,12,0,35066,0,2036,0,0,12679,49781
3,74,2,0,1,0,0,1,0,5,1,6,0,3681,0,967,0,0,5566,10214
0,131,1,1000,1,0,1,1,1,6,2,10,0,10287,0,1542,5691,1484,6152,25156
3,63,2,0,1,1,0,1,0,3,1,6,6,2770,1135,657,0,0,5244,9806
3,83,2,0,1,0,0,1,0,5,1,6,0,3759,0,906,0,0,6402,11067
2,140,4,1000,1,1,0,1,0,9,2,12,10,24293,8771,1874,0,0,7838,42776
1,124,4,0,0,1,0,0,0,12,2,0,10,0,6009,0,0,0,8802,14811
4,58,4,0,1,1,0,1,0,5,1,8,9,7417,4459,705,0,0,2292,14873
2,96,8,0,1,1,0,1,0,8,2,8,8,19670,5504,1054,0,0,7280,33508
4,83,5,0,1,1,0,1,0,4,1,8,9,12209,3080,909,0,0,6796,22994
0,126,4,15000,0,0,1,0,1,10,2,0,0,0,0,0,8248,4246,7585,20079
0,241,2,0,1,0,0,1,0,13,7,12,0,36202,0,2819,0,0,9631,48652
2,134,5,7000,1,1,1,1,1,9,3,12,10,21873,9483,1579,6261,3102,10459,52757
4,56,2,0,1,1,1,1,0,3,1,7,9,4533,3616,450,565,0,2361,11525
0,157,1,0,1,0,1,0,0,9,2,10,0,15185,0,0,12435,0,10506,38126
0,242,3,15000,1,1,0,0,1,12,7,12,6,37320,2614,0,0,4037,13227,57198
0,27,4,0,1,0,0,1,0,2,1,4,0,2460,0,234,0,0,2941,5635
0,220,2,15000,1,0,1,1,1,22,5,12,0,34344,0,3153,9909,3949,11443,62798
1,52,4,7000,1,1,0,1,1,4,1,7,8,5860,3633,649,0,3128,2785,16055
0,162,1,15000,1,0,1,1,1,13,4,10,0,12829,0,1894,11658,3184,10688,40253
4,44,4,0,1,1,0,1,0,2,1,5,8,5599,3124,498,0,0,4194,13415
1,130,2,5000,1,1,1,1,1,9,2,10,10,9992,6091,1718,9196,2818,8494,38309
4,39,5,0,1,1,1,1,0,3,1,5,8,4672,2138,405,553,0,4616,12384
4,24,3,0,1,1,1,1,0,2,1,4,8,1271,1867,240,296,0,4108,7782
3,150,1,0,1,0,1,1,0,9,3,10,0,11062,0,1752,11462,0,11923,36199
1,173,4,2000,1,1,1,0,1,14,4,11,10,26026,8112,0,7891,1630,9247,52906
2,75,5,0,1,1,0,1,0,4,2,8,8,9871,3187,1039,0,0,4817,18914
3,290,2,0,1,1,1,1,0,19,7,12,8,40424,4748,2356,22180,0,13989,83697
4,30,2,0,1,1,1,1,0,2,1,4,8,1368,2019,291,462,0,4916,9056
4,61,3,0,1,1,0,1,0,6,1,7,9,4588,3649,649,0,0,3310,12196
3,55,2,0,1,0,1,1,0,3,1,6,0,2122,0,445,825,0,4932,8324
0,51,4,0,1,0,0,0,0,3,1,7,0,5370,0,0,0,0,3359,8729
1,18,1,0,1,1,0,1,0,2,1,3,7,458,1207,155,0,0,4356,6176
3,228,2,0,1,1,1,1,0,13,7,12,8,30961,2894,2249,17832,0,14234,68170
4,74,4,0,1,1,0,1,0,4,1,8,9,8890,4503,1094,0,0,4011,18498
0,109,4,0,0,0,0,1,0,6,2,0,0,0,0,1335,0,0,8726,10061
2,170,7,15000,1,1,0,1,1,13,4,12,10,41856,10281,1466,0,3532,12837,69972
4,95,3,0,1,1,1,1,0,9,2,7,9,7446,5414,1381,4655,0,7131,26027
1,20,4,15000,0,1,0,1,1,2,1,0,7,0,1175,273,0,4058,3334,8840
2,177,4,2000,1,1,1,1,0,8,3,12,10,28601,9385,2126,11134,0,12218,63464
0,120,4,20000,1,0,1,0,0,10,3,11,0,17586,0,0,8557,0,9131,35274
4,46,2,0,1,1,0,1,0,4,1,4,8,2255,2478,541,0,0,2178,7452
4,85,3,0,1,1,0,1,0,7,2,7,9,5540,4193,1195,0,0,6716,17644
4,90,5,0,1,1,0,1,0,7,2,8,9,11940,5695,1180,0,0,5263,24078
3,223,3,0,1,0,1,1,0,13,4,12,0,36935,0,3094,13502,0,10747,64278
2,84,4,0,1,1,0,1,0,6,1,8,8,10114,4642,886,0,0,6717,22359
2,40,5,7000,1,1,0,1,1,3,1,5,7,4812,2302,416,0,2588,3791,13909
1,185,4,1000,1,1,1,0,1,9,5,11,10,25368,12873,0,9267,1928,13666,63102
1,181,3,10000,1,1,1,0,1,18,3,10,10,13957,12667,0,7569,4912,11320,50425
1,161,2,0,0,1,0,0,0,8,4,0,10,0,7681,0,0,0,9994,17675
2,113,4,0,1,1,0,1,0,9,2,12,10,21149,5400,1586,0,0,7713,35848
1,131,4,20000,1,1,1,1,1,11,2,11,10,16747,5536,1440,6012,4978,7834,42547
2,51,4,2000,1,1,0,1,1,4,1,8,8,8431,3194,751,0,1462,4070,17908
4,83,5,0,1,1,0,1,0,6,1,8,9,10117,5256,883,0,0,5063,21319
4,40,2,0,1,1,1,1,0,3,1,4,8,1837,2707,323,733,0,4694,10294
2,88,7,0,1,1,0,1,0,8,1,8,8,14334,4246,1038,0,0,5643,25261
3,61,1,0,1,1,0,1,0,6,1,6,6,2996,847,779,0,0,3592,8214
4,86,4,0,1,1,0,1,0,7,2,8,9,13135,4000,1282,0,0,7626,26043
2,103,7,2000,1,1,1,1,1,5,1,12,10,23487,6403,1260,4996,1990,9143,47279
0,214,4,2000,1,1,1,1,1,13,4,13,6,44753,3342,2186,15340,1854,9644,77119
1,168,4,3000,0,1,0,1,1,16,4,0,10,0,11631,1551,0,1996,12190,27368
0,226,1,0,1,0,1,0,0,12,6,12,0,33646,0,0,17200,0,10126,60972
4,96,4,0,1,1,0,1,0,5,2,8,9,13991,6002,1285,0,0,4695,25973
1,131,3,3000,1,1,1,0,1,9,2,10,10,13028,5215,0,8213,1774,8188,36418
4,85,3,0,1,1,1,1,0,5,2,7,9,5609,3895,970,6402,0,5892,22768
2,125,4,0,1,1,0,1,0,7,3,12,10,18921,7657,1041,0,0,8295,35914
2,63,7,20000,1,1,0,1,1,3,2,8,8,14017,2848,823,0,4654,5522,27864
1,50,4,7000,0,1,0,0,0,3,1,0,8,0,2669,0,0,0,1995,4664
1,192,1,15000,1,1,1,1,1,14,4,10,10,17083,7475,2426,11156,4242,10847,53229
1,118,2,20000,1,1,1,1,1,10,3,10,10,9958,6214,1320,9262,4156,7270,38180
4,57,3,0,1,1,0,1,0,4,1,7,9,4246,3474,468,0,0,4708,12896
3,213,1,0,1,0,0,1,0,12,3,12,0,30746,0,2634,0,0,12080,45460
0,32,3,5000,1,0,0,1,0,2,1,3,0,794,0,408,0,0,3264,4466
2,74,8,7000,1,1,0,1,1,5,1,8,8,15192,4016,665,0,2953,4400,27226
0,105,1,0,1,0,1,1,0,5,1,10,0,9160,0,1022,4635,0,6340,21157
4,53,5,0,1,1,0,1,0,2,1,8,9,7719,2428,598,0,0,3864,14609
1,104,4,2000,1,1,1,0,1,8,2,11,10,15302,5157,0,5758,1897,9075,37189
3,84,3,0,1,0,1,1,0,6,1,6,0,3811,0,755,3378,0,8235,16179
3,178,2,0,1,1,0,1,0,16,4,10,8,16415,3652,1464,0,0,11788,33319
4,98,2,0,1,1,0,1,0,8,1,7,9,7518,5155,1265,0,0,7747,21685
3,285,1,0,1,1,1,1,0,28,7,12,8,48742,5578,2388,21665,0,17077,95450
1,193,4,15000,0,1,1,0,1,10,4,0,10,0,9395,0,12818,4520,12498,39231
0,226,1,5000,0,0,1,1,1,12,5,0,0,0,0,2065,12487,2690,9225,26467
4,21,2,0,1,1,0,1,0,2,1,4,8,946,2129,187,0,0,3950,7212
1,190,4,0,1,1,1,0,0,13,5,11,10,30550,10783,0,13240,0,13572,68145
0,39,2,20000,1,0,1,0,1,2,1,3,0,1085,0,0,771,3778,2942,8576
3,108,3,0,1,0,0,1,0,8,2,10,0,8464,0,940,0,0,7253,16657
0,106,3,1000,0,1,0,1,1,6,2,0,6,0,1951,910,0,2153,8035,13049
4,86,5,0,1,1,0,1,0,5,2,8,9,9556,5817,1012,0,0,4861,21246
3,183,1,0,1,0,1,1,0,16,3,10,0,13452,0,2345,13851,0,11799,41447
4,68,3,0,1,1,0,1,0,4,1,7,9,4639,3893,775,0,0,3955,13262
2,137,7,10000,1,1,1,1,1,9,2,12,10,27809,8771,1220,8438,4633,7555,58426
4,51,2,0,1,1,1,1,0,5,1,7,9,3735,3424,477,819,0,3421,11876
0,87,4,10000,1,0,0,1,0,4,1,7,0,9371,0,1087,0,0,6222,16680
4,51,2,0,1,1,1,1,0,2,1,7,9,3279,2741,542,896,0,1916,9374
